"","userIDs","implementation","Line_ID","ChatGroup","content","group_id","RoleName","roomName","m_experimental_testing","m_making_design_choices","m_asking_questions","j_customer_consultants_requests","j_performance_parameters_requirements","j_communication","OutcomeScore","wordCount"
"1","1","a",1,"PRNLT","Hello team. Welcome to Nephrotex!",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,5
"2","1","a",2,"PRNLT","I'm Maria Williams. I'll be your design advisor for your internship.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,11
"3","1","a",3,"PRNLT","I'm here to help if you have any questions.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,9
"4","1","a",4,"PRNLT","Please introduce yourselves with the name you prefer to be called. WorkPro records all the work we do, and we review it with an external consultant to improve the quality of our internship program. So we ask you to use your first name only during this internship to protect your privacy.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,1,0,0,4,51
"5","1","a",5,"PRNLT","I just want to make sure everyone has found the chat interface. Please send a chat to ""check in"" with the group. You can make your chat window bigger by clicking the + icon in the top right corner.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,39
"6","2","a",6,"PRNLT","Hello I am Brandon!",2,"Player","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,4
"7","3","a",7,"PRNLT","I am Zelin",2,"Player","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,3
"8","3","a",8,"PRNLT","Hi",2,"Player","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,1
"9","4","a",9,"PRNLT","i am jack",2,"Player","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,3
"10","5","a",10,"PRNLT","Hey! I'm Rachel!",2,"Player","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,2,3
"11","6","a",11,"PRNLT","I am Royce",2,"Player","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,2,3
"12","1","a",12,"PRNLT","If you haven't already, please check your email.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,8
"13","1","a",13,"PRNLT","Throughout your time at Nephrotex, you'll be receiving emails from our boss, Alex. He'll send you instructions about what to work on throughout the course of your internship.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,28
"14","1","a",14,"PRNLT","Now, please check your Deliverable List on the bottom right corner of WorkPro.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,13
"15","1","a",15,"PRNLT","Deliverables that have been assigned to you will show up in this list. You will be able to check to see the original email with the instructions Alex sent to you, whether you have submitted that deliverable, and whether Vedant has approved that deliverable.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,44
"16","1","a",16,"PRNLT","For more detailed information about the Deliverable List, click the info button in the top right corner of the Deliverables List tab.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,22
"17","1","a",17,"PRNLT","I have provided a summary of the workflow resource in the shared space. Plagiarism is not tolerated, so make sure to paraphrase the summary in your notebook entry.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,1,1,4,28
"18","2","a",18,"PRNLT","Is it imperative to know the answers to the questions in the interview?",2,"Player","Introduction and Workflow Tutorial with Entrance Interview",0,0,1,0,0,0,4,13
"19","1","a",19,"PRNLT","If you're done with your notebook entry, submit it to Alex by clicking the submit button (middle of the notebook window).",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,1,4,21
"20","1","a",20,"PRNLT","You won't be able to edit your entry once you've submitted it, but if you need to update or correct your work, you can cancel your submission by clicking the ""x"" in the Deliverables List.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,35
"21","1","a",21,"PRNLT","You can only cancel submissions before Alex has viewed them, so make sure you have included everything that is required before submitting.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,22
"22","1","a",22,"PRNLT","As soon as you submit a notebook to Alex he will review it and then send feedback as soon as he can. While you are waiting, you should assist any of your teammates who have not submitted their deliverable. Your team will not be able to move on to the next task until each of your team members' notebooks have been witnessed.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,1,0,0,0,0,4,62
"23","1","a",23,"PRNLT","Back when I was an undergrad, I interned at a mechanical engineering company that designed exoskeletons for rescue workers. You are working on a different project, but I have put an example of the summary I used for my previous project in the shared space. Alex is pretty similar to my boss at the internship, so you're welcome to use this as a template to write your own.  Note the language and the length of the response.",2,"Mentor","Background research on dialysis",0,0,0,0,0,1,4,77
"24","1","a",24,"PRNLT","Please pay close attention to the citation methods used in my example. I know Alex will be a stickler for following correct citation methods.",2,"Mentor","Background research on dialysis",0,1,0,0,0,0,4,24
